Time,Value
13.938,106387
13.958,106345
13.978,106416
13.998,106391
14.019,106386
14.038,106470
14.058,106409
14.078,106364
14.098,106467
14.119,106466
14.139,106513
14.159,106609
14.178,106547
14.199,106513
14.219,106607
14.237,106602
14.257,106643
14.277,106709
14.298,106655
14.318,106632
14.339,106716
14.357,106692
14.378,106744
14.398,106837
14.418,106729
14.438,106727
14.458,106820
14.479,106794
14.5,106843
14.518,106867
14.538,106651
14.559,106540
14.579,106487
14.597,106407
14.617,106413
14.637,106453
14.659,106339
14.677,106334
14.697,106418
14.717,106363
14.738,106417
14.758,106480
14.778,106384
14.798,106393
14.819,106456
14.838,106416
14.858,106454
14.878,106464
14.898,106374
14.918,106396
14.939,106484
14.957,106445
14.978,106522
14.999,106562
15.017,106476
15.037,106532
15.057,106573
15.077,106548
15.098,106644
15.118,106658
15.139,106566
15.157,106621
15.178,106648
15.198,106618
15.218,106724
15.238,106724
15.258,106647
15.278,106694
15.298,106699
15.318,106684
15.338,106815
15.358,106797
15.377,106661
15.397,106613
15.417,106513
15.437,106389
15.459,106366
15.477,106315
15.497,106191
15.517,106240
15.538,106249
15.558,106224
15.578,106312
15.598,106239
15.619,106189
15.638,106231
15.658,106233
15.678,106231
15.698,106301
15.718,106254
15.737,106182
15.757,106234
15.778,106220
15.798,106231
15.817,106327
15.837,106291
15.857,106237
15.877,106315
15.898,106326
15.918,106328
15.939,106435
15.957,106396
15.978,106330
15.998,106413
16.018,106398
16.038,106405
16.058,106493
16.078,106458
16.098,106402
16.118,106470
16.138,106476
16.157,106510
16.177,106615
16.197,106563
16.217,106508
16.237,106521
16.259,106377
16.277,106296
16.297,106318
16.317,106190
16.338,106108
16.358,106185
16.378,106161
16.398,106207
16.419,106297
16.438,106214
16.458,106207
16.478,106290
16.498,106271
16.517,106328
16.537,106370
16.557,106280
16.578,106266
16.597,106325
16.617,106303
16.637,106345
16.657,106417
16.677,106334
16.697,106333
16.718,106421
16.739,106380
16.757,106464
16.777,106546
16.798,106482
16.818,106505
16.838,106607
16.858,106578
16.877,106654
16.898,106671
16.918,106569
16.938,106572
16.957,106650
16.977,106624
16.997,106712
17.017,106780
17.037,106637
17.059,106588
17.077,106512
17.097,106390
17.117,106380
17.137,106395
17.158,106282
17.178,106277
17.198,106349
17.219,106323
17.238,106359
17.258,106361
17.278,106281
17.298,106290
17.317,106348
17.337,106307
17.357,106382
17.378,106368
17.397,106262
17.417,106312
17.437,106342
17.457,106322
17.477,106412
17.497,106449
17.518,106373
17.539,106431
17.557,106467
17.577,106456
17.598,106515
17.618,106531
17.638,106441
17.656,106475
17.676,106508
17.698,106502
17.718,106584
17.736,106602
17.757,106520
17.777,106562
17.797,106631
17.817,106602
17.837,106686
17.859,106694
17.877,106634
17.897,106666
17.917,106646
17.937,106502
17.958,106491
17.978,106389
17.998,106228
18.017,106244
18.038,106240
18.058,106218
18.078,106310
18.096,106289
18.116,106187
18.137,106255
18.157,106267
18.178,106238
18.197,106320
18.217,106302
18.237,106202
18.257,106251
18.277,106239
18.297,106216
18.318,106303
18.339,106297
18.357,106212
18.377,106271
18.398,106304
18.418,106287
18.438,106426
18.456,106356
18.476,106297
18.498,106372
18.518,106361
18.536,106381
18.556,106482
18.577,106461
18.597,106413
18.617,106476
18.637,106476
18.658,106471
18.677,106566
18.697,106522
18.717,106450
18.737,106550
18.758,106573
18.778,106562
18.796,106600
18.817,106451
18.838,106275
18.858,106243
18.876,106171
18.896,106143
18.916,106216
18.937,106176
18.957,106124
18.978,106193
18.996,106194
19.017,106202
19.037,106311
19.057,106250
19.077,106202
19.097,106277
19.118,106245
19.139,106265
19.157,106333
19.177,106226
19.198,106237
19.218,106306
19.236,106310
19.256,106368
19.276,106447
19.298,106388
19.316,106360
19.336,106443
19.356,106411
19.377,106473
19.397,106568
19.417,106496
19.437,106478
19.458,106547
19.477,106532
19.497,106574
19.517,106656
19.537,106568
19.558,106555
19.578,106646
19.596,106655
19.617,106694
19.638,106729
19.658,106509
19.676,106400
19.696,106348
19.716,106230
19.737,106236
19.757,106271
19.778,106182
19.796,106185
19.817,106287
19.837,106246
19.857,106284
